Type,Lifetime Post Total Reach,Lifetime Engaged Users,comment,like,share,Total Interactions
1,2752,178,4,79,17,100
3,10460,1457,5,130,29,164
1,2413,177,0,66,14,80
1,50128,2211,58,1572,147,1777
1,7244,671,19,325,49,393
3,10472,1191,1,152,33,186
1,11692,481,3,249,27,279
1,13720,537,0,325,14,339
3,11844,1530,0,161,31,192
1,4694,280,3,113,26,142
3,21744,4258,0,233,19,252
1,3112,208,0,88,18,106
1,2847,193,0,90,14,104
1,2549,249,5,137,10,152
1,22784,887,2,577,20,599
3,10060,1264,4,86,18,108
1,1722,163,2,40,12,54
1,53264,1706,15,678,20,713
3,3930,130,4,54,17,75
1,1591,121,0,34,8,42
1,2848,200,3,66,12,81
1,1384,15,0,0,0,0
4,3454,118,0,16,2,18
1,2723,176,0,72,24,96
3,8488,1341,3,99,19,121
3,8284,1521,0,88,18,106
3,19552,2806,10,412,72,494
1,2478,212,0,100,17,117
1,9560,973,36,523,63,622
2,36208,1141,18,143,13,174
1,4940,385,33,107,22,162
1,1683,192,1,27,11,39
1,5280,368,2,155,47,204
1,3002,268,4,98,23,125
1,3766,298,2,56,17,75
1,4512,423,6,172,21,199
1,2690,252,0,96,17,113
1,19800,479,16,76,8,100
3,17576,5352,11,227,31,269
1,3290,306,1,44,14,59
3,13280,2055,7,216,39,262
4,18480,517,6,187,18,211
1,7268,2087,7,26,3,36
4,2645,134,7,29,10,46
1,4284,355,0,47,11,58
4,7968,206,4,57,10,71
3,16576,3572,4,174,36,214
4,1925,97,6,18,8,32
1,3786,338,0,77,15,92
4,1536,84,1,12,1,14
1,1728,108,1,48,9,58
1,25248,726,24,285,28,337
1,4894,355,9,202,31,242
1,2935,237,4,64,19,87
1,2425,260,4,66,13,83
2,16416,459,2,65,14,81
1,5812,343,2,164,54,220
1,2545,165,0,40,13,53
1,2257,230,3,76,11,90
1,27072,421,4,139,17,160
1,10940,417,8,101,14,123
1,50912,630,8,144,10,162
1,28752,802,10,179,13,202
1,27216,541,4,219,22,245
1,2352,232,2,60,7,69
1,3416,356,19,77,23,119
1,2149,197,0,48,7,55
1,53456,1576,20,697,70,787
1,2168,211,0,53,17,70
1,3102,360,7,84,28,119
1,39344,588,7,146,9,162
2,100768,2101,17,449,84,550
3,9056,1006,3,226,44,273
1,11444,555,14,172,47,233
2,13544,517,2,99,13,114
1,37376,1150,20,411,74,505
1,1228,17,0,0,0,0
1,22984,438,4,85,8,97
1,1445,217,0,56,8,64
1,3754,658,2,29,7,38
3,8728,2295,2,86,13,101
1,5990,657,18,370,53,441
1,4582,454,5,190,57,252
1,2938,321,2,101,19,122
3,6692,199,2,99,16,117
1,2566,384,10,140,8,158
4,21176,330,2,130,31,163
1,4012,550,3,270,38,311
1,1531,212,3,30,6,39
1,2938,374,2,107,17,126
1,24720,845,13,331,77,421
1,2219,287,0,78,13,91
1,4732,607,9,301,32,342
1,2225,310,2,111,16,129
1,2626,316,2,124,22,148
1,3090,391,5,153,27,185
1,1101,324,3,51,11,65
1,2819,318,1,115,26,142
3,12468,2143,7,310,61,378
1,12776,785,12,328,90,430
1,1357,37,0,0,0,0
1,68896,2624,26,1505,95,1626
1,1711,288,2,63,14,79
1,1388,224,0,13,4,17
1,2645,357,4,59,9,72
1,70144,3216,42,955,139,1136
1,3674,452,9,181,32,222
3,9504,1132,17,193,28,238
1,2426,320,7,125,16,148
3,13872,2664,4,217,50,271
1,1673,338,2,28,4,34
1,2428,311,4,117,18,139
1,2227,369,2,79,16,97
1,1592,370,0,15,2,17
1,813,323,0,4,2,6
1,32208,1810,1,431,26,458
1,729,303,0,7,0,7
1,834,399,0,7,2,9
1,786,263,0,6,2,8
3,15816,2733,6,186,40,232
1,619,257,1,1,2,4
1,617,229,1,3,2,6
1,677,236,0,7,2,9
1,3366,474,3,198,41,242
1,747,226,0,9,1,10
1,645,195,0,4,1,5
1,754,206,0,3,0,3
1,910,207,0,8,2,10
1,3906,868,0,7,3,10
1,659,199,1,7,2,10
1,652,214,0,11,1,12
1,861,214,2,28,4,34
1,3690,424,0,56,12,68
4,4664,204,0,32,16,48
1,1080,210,4,32,3,39
3,8896,1480,0,129,25,154
1,4018,428,4,77,19,100
4,68992,1032,15,143,44,202
3,13152,2543,2,227,36,265
3,31136,6164,60,859,90,1009
1,16776,714,10,377,60,447
1,50736,1462,3,41,9,53
1,5324,528,6,76,14,96
1,18120,421,0,189,15,204
1,2291,303,0,80,14,94
3,10744,1967,3,148,28,179
4,3616,111,0,24,11,35
1,39984,2105,24,302,41,367
1,4010,477,2,166,32,200
1,6564,806,47,358,49,454
1,8612,813,7,161,25,193
1,5568,746,13,319,55,387
1,1685,322,0,54,16,70
1,3756,469,16,117,30,163
1,2656,390,1,115,21,137
1,5086,622,30,187,35,252
1,2055,346,1,84,13,98
1,9384,757,6,363,40,409
1,3992,598,6,244,32,282
1,7512,769,22,290,98,410
3,11096,1843,4,243,41,288
1,2790,435,0,113,19,132
1,13856,519,2,77,5,84
1,10748,892,8,485,64,557
1,41984,3370,144,1622,208,1974
1,2522,455,6,99,16,121
1,4480,572,3,188,26,217
1,1543,360,2,30,6,38
3,21256,4840,38,163,27,228
1,4484,545,6,179,40,225
1,4398,584,5,204,34,243
3,13216,2675,2,165,22,189
1,22304,1805,29,1047,98,1174
1,6208,644,2,234,40,276
1,4518,626,7,250,42,299
1,3582,537,4,154,36,194
3,9124,1476,20,150,29,199
1,14152,631,4,102,8,114
1,4260,588,1,226,44,271
2,30624,2080,6,345,121,472
1,2363,393,11,68,11,90
1,2232,374,0,62,10,72
1,4048,544,5,223,35,263
1,1804,330,0,61,6,67
1,2351,371,1,104,12,117
1,3100,518,3,146,15,164
1,2360,436,2,102,15,119
1,19648,1359,9,766,43,818
1,2295,377,0,63,7,70
1,3934,512,3,113,17,133
1,34512,1666,6,442,42,490
1,5282,703,9,278,43,330
1,1809,399,2,64,7,73
1,1920,365,1,52,7,60
1,1954,356,0,30,2,32
1,33536,1954,33,1155,102,1290
1,4204,498,2,139,25,166
1,3376,428,0,40,5,45
3,9236,1151,2,53,15,70
1,72864,946,4,220,19,243
1,3358,394,2,114,16,132
1,3254,371,0,39,3,42
1,50640,2240,4,859,68,931
1,3734,529,5,137,20,162
1,2594,347,1,54,11,66
1,2232,376,2,74,22,98
1,22120,979,6,98,3,107
1,7980,630,2,264,21,287
1,1659,345,3,36,11,50
1,1006,277,1,11,3,15
1,12728,844,4,435,31,470
1,28880,1062,2,114,10,126
1,1330,363,2,17,9,28
3,14424,304,41,15,1,57
1,14200,1393,3,87,10,100
1,5746,769,16,227,28,271
1,2540,389,2,86,8,96
1,4324,548,6,179,27,212
3,8260,997,1,74,11,86
3,20168,3370,18,332,54,404
1,5046,528,2,80,21,103
3,15296,2827,9,95,17,121
1,3414,473,3,188,26,217
1,95424,699,6,109,11,126
1,14824,868,64,367,25,456
1,3504,444,9,102,19,130
1,2822,424,2,113,20,135
1,2973,356,0,94,20,114
3,10824,135,6,14,1,21
1,4592,320,1,43,10,54
1,3176,372,1,98,21,120
3,10956,128,3,13,1,17
1,10888,913,12,237,45,294
1,3594,424,4,112,23,139
1,3384,451,2,101,25,128
1,4096,487,10,145,31,186
1,19968,1016,6,535,83,624
1,4892,536,4,118,22,144
3,17360,2573,9,484,79,572
2,21872,3872,18,315,76,409
1,180480,8072,372,5172,790,6334
1,44464,1052,4,154,30,188
1,2881,550,0,73,15,88
1,3460,541,0,96,19,115
1,3406,571,1,98,19,118
1,2602,479,1,53,14,68
1,5848,622,4,71,10,85
1,26944,877,6,194,34,234
1,5292,756,6,226,42,274
3,15576,2417,11,238,51,300
1,54256,1620,10,755,58,823
1,3726,602,30,47,8,85
1,31904,863,2,126,32,160
1,40336,1407,4,104,10,118
1,4220,685,10,167,26,203
1,4666,729,9,152,41,202
1,4274,701,0,128,15,143
1,28208,964,13,234,43,290
1,3330,513,2,61,16,79
1,3528,550,0,66,9,75
1,38576,1355,7,529,60,596
1,2628,528,3,42,10,55
1,7232,758,2,75,24,101
3,10188,1473,13,61,13,87
1,6408,909,26,162,7,195
1,3414,515,2,47,4,53
1,53056,2003,6,696,28,730
1,66976,1191,7,215,47,269
1,76096,2889,22,534,31,587
1,5458,1007,1,143,27,171
1,3706,895,18,46,7,71
3,18320,3742,36,98,14,148
1,2316,722,0,25,5,30
2,139008,1779,23,204,44,271
1,5854,1043,11,202,5,218
1,109056,2552,7,148,39,194
1,3212,735,1,40,8,49
1,3046,909,1,71,17,89
3,12044,2240,0,104,13,117
1,9652,1400,1,34,4,39
1,28112,1631,11,129,12,152
3,8628,870,4,72,18,94
1,2431,389,0,15,3,18
1,20560,936,14,102,9,125
1,20896,1418,103,469,33,605
1,2402,170,5,57,5,67
1,1729,596,0,23,2,25
1,4320,753,5,141,26,172
1,2585,569,0,19,5,24
1,3322,610,1,71,23,95
1,3600,691,0,72,21,93
1,11620,1160,5,54,7,66
1,4248,724,5,93,19,117
1,2763,564,0,62,10,72
1,3558,621,0,78,16,94
1,8324,840,0,14,1,15
1,6952,909,11,231,43,285
1,2823,552,1,72,16,89
1,63840,1382,9,197,28,234
1,11608,985,4,330,29,363
1,58304,884,0,148,7,155
1,4762,842,2,208,28,238
1,6150,750,12,148,28,188
1,4644,768,4,154,26,184
1,22464,1029,3,142,18,163
1,3754,791,8,107,20,135
1,4452,666,0,22,3,25
1,3576,664,2,84,13,99
1,3028,579,2,59,12,73
1,4022,647,3,65,14,82
1,52736,1635,0,24,4,28
1,47376,1557,9,186,23,218
1,3234,756,0,58,17,75
1,3322,702,2,74,14,90
1,6768,768,2,180,44,226
1,11304,1141,18,168,49,235
1,13544,759,0,36,5,41
1,3418,581,2,51,6,59
1,3662,560,2,67,14,83
1,56672,2579,20,1372,47,1439
1,3294,526,2,57,6,65
1,3110,732,2,33,10,45
1,3806,722,1,79,17,97
1,3776,577,3,97,22,122
1,39040,1684,16,617,58,691
1,4032,684,7,139,34,180
1,21248,1049,20,199,32,251
1,4344,692,1,107,26,134
1,2718,566,0,50,10,60
1,3024,596,0,64,20,84
3,10152,1636,2,55,10,67
1,4708,678,1,142,37,180
1,2772,526,2,72,9,83
1,2812,536,4,79,16,99
1,6460,823,25,244,44,313
1,18056,1062,25,307,58,390
1,5016,679,6,212,36,254
1,3528,470,2,95,17,114
1,6444,734,5,194,33,232
1,4458,491,6,101,29,136
4,12540,344,3,46,14,63
1,4362,604,3,156,20,179
1,38960,2298,37,821,90,948
1,3144,392,1,58,13,72
1,4336,574,12,155,23,190
1,81856,3000,45,1639,122,1806
1,5728,676,3,155,32,190
1,5490,647,4,166,33,203
3,23832,1701,6,210,39,255
1,18552,1005,4,400,25,429
1,4132,552,2,98,18,118
1,4910,625,12,138,38,188
1,4202,562,3,148,16,167
1,5976,689,2,267,40,309
1,5206,565,1,144,29,174
1,6984,780,25,256,54,335
1,6000,577,3,72,24,99
1,3332,463,0,87,18,105
3,9232,908,1,129,36,166
1,5212,736,1,179,30,210
1,24264,1599,9,194,33,236
1,4280,624,1,124,32,157
1,6692,905,4,304,47,355
1,5594,739,12,138,39,189
1,11336,583,4,41,9,54
1,5582,708,2,163,35,200
1,28352,1476,45,407,76,528
3,17912,2750,17,447,123,587
4,35360,339,7,38,11,56
1,9084,962,2,93,26,121
1,6880,671,0,59,16,75
1,12824,830,0,286,30,316
1,6596,564,0,66,13,79
1,7492,838,8,236,51,295
1,44288,1215,2,152,11,165
1,105632,3984,51,1998,128,2177
1,128064,1539,8,186,18,212
1,5994,964,11,235,34,280
1,6172,718,1,64,22,87
1,4986,662,2,92,28,122
1,6668,669,3,53,13,69
1,5298,657,5,140,38,183
1,35008,621,0,48,8,56
1,5402,700,0,112,14,126
1,9880,524,0,35,5,40
1,3334,584,4,37,3,44
1,3130,522,0,48,14,62
1,32208,1933,6,766,109,881
1,20920,705,1,96,18,115
1,3884,518,1,57,13,71
1,4240,601,3,114,21,138
1,3544,509,1,51,6,58
1,3286,504,1,87,27,115
1,71360,1784,5,81,11,97
1,3824,666,1,71,18,90
1,6360,715,9,164,52,225
1,3714,537,5,91,26,122
1,46192,1364,9,329,38,376
1,39568,741,4,128,17,149
4,70912,1374,1,379,40,420
1,4552,471,1,52,24,77
1,4390,484,1,63,26,90
1,4770,494,2,97,25,124
1,2970,421,2,56,9,67
4,34192,338,1,36,7,44
1,5302,624,4,138,26,168
1,5560,642,7,142,24,173
1,4406,477,1,75,15,91
1,5290,612,1,89,14,104
1,3696,517,2,63,16,81
1,6030,735,3,176,29,208
1,49632,1653,7,227,15,249
3,9120,951,3,25,6,34
1,1874,25,0,0,0,0
1,4122,466,1,27,11,39
1,5080,523,0,39,14,53
1,4068,538,0,61,13,74
1,3272,463,0,32,7,39
1,238,143,0,2,0,2
1,3358,541,8,109,3,120
1,6400,735,0,32,6,38
4,6876,282,2,68,15,85
1,391,131,0,6,1,7
1,10844,1409,4,213,13,230
1,5132,398,0,2,0,2
1,3772,144,0,3,0,3
4,2933,24,0,6,0,6
1,4094,206,0,4,0,4
1,452,186,0,4,1,5
1,11420,1411,12,211,14,237
1,5704,452,1,15,1,17
1,7192,587,11,95,4,110
1,9604,1061,16,127,0,143
1,122944,1373,0,136,13,149
4,5730,103,2,32,15,49
1,4898,560,1,76,9,86
1,4118,546,1,28,7,36
1,1845,9,0,0,0,0
1,34480,1591,10,664,97,771
1,5338,589,1,62,10,73
1,5312,603,0,48,20,68
1,4412,711,1,55,7,63
1,98816,11452,10,197,21,228
1,7220,2348,6,88,24,118
1,14320,1850,2,59,6,67
1,27056,2299,6,234,26,266
1,20528,1876,3,148,21,172
1,6416,1362,0,96,29,125
1,5786,1237,4,49,15,68
1,5878,1132,3,98,27,128
1,9528,1383,14,198,70,282
1,8500,1095,5,159,53,217
1,3796,949,1,22,6,29
1,28128,2283,6,154,18,178
1,7228,1239,5,128,32,165
1,5290,1053,2,129,32,163
1,55520,4544,146,1546,181,1873
1,5880,1291,5,79,11,95
1,10040,1429,19,214,78,311
1,153536,1713,8,134,34,176
1,158208,2482,9,268,36,313
1,6484,1166,4,128,38,170
1,4840,949,3,47,21,71
1,15880,1188,1,200,37,238
1,15288,1573,5,264,36,305
1,9528,1245,10,193,61,264
4,9356,448,4,114,13,131
1,7732,1066,7,160,57,224
1,5240,857,0,46,15,61
1,7132,1004,4,136,42,182
1,21928,1512,0,73,13,86
1,5754,1179,0,65,19,84
1,37088,2728,7,579,47,633
4,39600,572,1,101,5,107
1,5536,1141,1,74,31,106
1,6056,1117,7,84,36,127
1,11484,1762,56,360,99,515
4,4938,66,0,5,2,7
1,66784,2969,3,187,36,226
1,5526,1096,2,69,26,97
1,5040,1062,2,82,24,108
4,5168,66,0,12,2,14
1,5034,1020,2,56,25,83
1,4908,957,1,44,21,66
1,9700,1407,21,277,80,378
1,4800,975,1,74,28,103
1,5280,951,1,79,30,110
1,6184,956,1,105,46,152
4,45920,753,0,128,9,137
1,8412,1179,17,185,55,257
1,5400,810,10,125,41,176
1,4684,733,5,53,26,84
1,3480,537,0,53,22,75
1,3778,625,4,93,18,115
1,4156,626,7,91,38,136
1,4188,564,0,91,28,119